OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM
15317,1990,CA,USF,PNF,HARTMAN,00000000,1990/11/13 00:00:00+00,1990/11/14 00:00:00+00,5,,80,45.49623489,8,1,00000205
15318,1990,CA,USF,PNF,WILDCAT,00000000,1990/11/10 00:00:00+00,1990/11/12 00:00:00+00,3,,15,25.2914505,8,1,00000203
15319,1990,CA,USF,SNF,DEVILS,00000000,1990/05/03 00:00:00+00,1990/05/05 00:00:00+00,5,,50,63.56184769,8,1,00000009
15320,1990,CA,USF,SNF,KIRCH,00000000,1990/07/20 00:00:00+00,1990/07/24 00:00:00+00,9,,3650,3746.26489258,8,1,00000099
15321,1990,CA,USF,SNF,LILLY,00000000,1990/08/05 00:00:00+00,1990/08/15 00:00:00+00,4,,123,100.72536469,8,1,00000121
15322,1990,CA,USF,SNF,TWIN 2,00000000,1990/10/13 00:00:00+00,1990/12/31 00:00:00+00,1,,10,13.54230404,8,1,00000284
15323,1990,CA,USF,SNF,GIBBS,00000000,1990/11/06 00:00:00+00,1990/11/07 00:00:00+00,9,,40,20.7140522,8,1,00000296
15324,1990,CA,USF,SNF,FORGOTTEN,00000000,1990/12/09 00:00:00+00,1990/12/10 00:00:00+00,5,,12,6.87862253,8,1,00000306
15325,1990,CA,USF,LNF, ,00000000,1990/09/11 00:00:00+00,1990/09/13 00:00:00+00,3,,320,530.38739014,8,1,00000109
15326,1990,CA,USF,SQF,UPPER,00000000,1990/07/13 00:00:00+00,1990/07/14 00:00:00+00,9,,415,352.66442871,8,1,00000048
15327,1990,CA,USF,MDF,LONG,00000000,1990/04/06 00:00:00+00,1990/04/10 00:00:00+00,1,,11,7.15082312,8,1,00000004
15328,1990,CA,USF,KNF,BUTTE,00000000,1990/06/17 00:00:00+00,1990/06/21 00:00:00+00,1,,88,72.22158051,8,1,00000020
15329,1990,CA,USF,KNF,FIVE POINTS,00000000,1990/10/25 00:00:00+00,1990/10/29 00:00:00+00,5,,50,35.03460312,8,1,00000199
15330,1991,CA,USF,ENF, ,00000000,1991/01/20 00:00:00+00,1991/01/21 00:00:00+00,5,,24,17.50286293,8,1,00000003
15331,1991,CA,USF,ENF, ,00000000,1991/04/19 00:00:00+00,1991/04/29 00:00:00+00,1,,157,153.97116089,8,1,00000012
15332,1991,CA,USF,SHF,ROCK,00000000,1991/09/18 00:00:00+00,1991/09/22 00:00:00+00,9,,1290,1109.35375977,8,1,00000237
15333,1991,CA,USF,SHF, ,00000000,1991/09/26 00:00:00+00,1991/10/05 00:00:00+00,1,,435,433.14633179,8,1,00000253
15334,1992,CA,USF,ENF,SALT,00000000,1992/02/03 00:00:00+00,1992/02/04 00:00:00+00,9,,58,52.8367691,8,1,00000001
15335,1999,CA,USF,ANF,BRIDGE,00000000,1999/08/29 00:00:00+00,1999/09/07 00:00:00+00,7,,7200,7233.53076172,8,1,00000224
15336,1999,CA,USF,ANF,FRANKISH,00000000,1999/10/22 00:00:00+00,1999/10/23 00:00:00+00,7,,25,51.05910492,8,1,00000266
15337,1991,CA,USF,PNF,SCALES 1,00000000,1991/01/05 00:00:00+00,1991/01/28 00:00:00+00,5,,16,37.03901291,8,1,00000001
15338,1991,CA,USF,MNF,BEAR,00000000,1991/01/28 00:00:00+00,1991/02/01 00:00:00+00,5,,275,1082.12072754,8,1,00000005
15339,1991,CA,USF,SQF,LONG,00000000,1991/08/01 00:00:00+00,1970/01/01 00:00:00+00,1,,102,106.48522186,8,1,00000076
15340,1991,CA,USF,SQF,LINE-GIBBON,00000000,1991/07/23 00:00:00+00,1991/07/23 00:00:00+00,7,,50,18.57755089,8,1,00000033
15341,1991,CA,USF,SHF,SQUAW,00000000,1991/07/31 00:00:00+00,1991/08/02 00:00:00+00,3,,184,157.86924744,8,1,00000167
15342,1991,CA,USF,SRF,LAKE,00000000,1991/10/06 00:00:00+00,1991/10/06 00:00:00+00,7,,10,9.95787811,8,1,00000069
15343,1992,CA,USF,SQF,PEPPERMINT,00000000,1992/05/04 00:00:00+00,1992/05/05 00:00:00+00,1,,13,6.28223276,8,1,00000005
15344,1992,CA,USF,SQF, ,00000000,1992/06/21 00:00:00+00,1992/06/22 00:00:00+00,7,,10,3.52620697,8,1,00000056
15345,1992,CA,USF,SQF,PONDEROSA,00000000,1992/05/14 00:00:00+00,1992/05/14 00:00:00+00,7,,23,33.94647598,8,1,00000017
15346,1992,CA,USF,SQF,CALLBOX,00000000,1992/05/24 00:00:00+00,1992/05/24 00:00:00+00,4,,1195,1231.51635742,8,1,00000020
15347,1992,CA,USF,SQF,RODEO,00000000,1992/06/27 00:00:00+00,1970/01/01 00:00:00+00,7,,13,13.08848095,8,1,00000068
15348,1992,CA,USF,SRF,GIST,00000000,1992/08/20 00:00:00+00,1992/08/21 00:00:00+00,7,,20,19.91495132,8,1,00000076
15349,1992,CA,USF,SRF,PECWAN,00000000,1992/08/21 00:00:00+00,1992/08/21 00:00:00+00,7,,20,19.91469002,8,1,00000078
15350,1992,CA,USF,SRF,CAPPELL,00000000,1992/09/04 00:00:00+00,1992/09/04 00:00:00+00,7,,4,3.98290992,8,1,00000097
15351,1924,CA,USF,TNF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14, ,,114.03714752,8,1,00000023
15352,1941,CA,USF,TNF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14, ,,9.65769005,8,1,00000001
15353,1944,CA,USF,TNF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,9, ,,60.77359772,8,1,00000003
15354,1939,CA,USF,TNF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14, ,,523.35180664,8,1,00000003
15355,1924,CA,USF,KNF, ,00000000,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,14,,,676.43103027,,1,00000461
15356,2006,CA,CDF,LNU,ATLAS,00008290,2006/10/25 00:00:00+00,2006/10/26 00:00:00+00,2,DURING NORTH WINDS,80,71.22916412,1,1,00000568
15357,2006,CA,CDF,LNU,WAKEFIELD,00004232,2006/06/28 00:00:00+00,2006/06/28 00:00:00+00,11,OFF OF HIDDEN SPRINGS IN GORDON VALLEY,68,66.28175354,2,1,00000204
15358,2006,CA,CDF,LNU,HOMESTAKE 2,00004305,2006/06/29 00:00:00+00,2006/06/29 00:00:00+00,14,GUENOC RANCH,124,124.2511673,7,1,00000208
15359,2006,CA,CDF,LNU,SKY VALLEY,00004364,2006/06/30 00:00:00+00,2006/07/01 00:00:00+00,7,OFF LAKE HERMAN,40,226.22982788,6,1,00000213
15360,2006,CA,LRA,LNU,FAIRFIELD,00004514,2006/07/04 00:00:00+00,2006/07/04 00:00:00+00,9,FIREWORKS FIRE IN CITY OF FAIRFIEDL OPEN SPACE,40,55.48042679,6,1,00000232
15361,2006,CA,CDF,LNU,128,00004602,2006/07/07 00:00:00+00,2006/07/07 00:00:00+00,14,,40,57.19833374,6,1,00000244
15362,2006,CA,CDF,LNU,SPRING,00004653,2006/07/08 00:00:00+00,2006/07/09 00:00:00+00,10,,260,274.12338257,6,1,00000251
15363,2006,CA,CDF,LNU,MURPHY,00005398,2006/07/26 00:00:00+00,2006/07/26 00:00:00+00,10,,133,125.30330658,2,1,00000324
15364,2006,CA,CDF,LNU,SQUIRREL,00005433,2006/07/27 00:00:00+00,2006/07/27 00:00:00+00,11,FIRE IN THE GEYSERS STARTED BY SQUIRREL,67,59.12315369,2,1,00000328
15365,2006,CA,CDF,LNU,RUMSEY,00005563,2006/07/30 00:00:00+00,2006/07/30 00:00:00+00,7,,96,80.94897461,2,1,00000347
15366,2006,CA,CDF,LNU,HIGHLAND,00005591,2006/07/31 00:00:00+00,2006/08/01 00:00:00+00,14,OFF OF HIGHLAND SPRINGS IN LAKE CO.,225,198.00228882,2,1,00000354
15367,2006,CA,CDF,LNU,GRADE,00005935,2006/08/10 00:00:00+00,2006/08/10 00:00:00+00,14,OFF OF HWY 175 IN LAKE CO.,120,105.00624847,1,1,00000392
15368,2006,CA,CDF,LNU,NAPA,00007284,2006/09/22 00:00:00+00,2006/09/24 00:00:00+00,11,DURING NORTH WINDS,387,377.33111572,7,1,00000505
15369,2006,CA,CDF,LNU,29,00005007,2006/07/17 00:00:00+00,2006/07/21 00:00:00+00,10,SERIES OF FIRES,550,344.28005981,2,1,00000284
15370,2006,CA,CDF,LNU,YOLO,00007269,2006/09/21 00:00:00+00,2006/09/22 00:00:00+00,7,AKA 82B FIRE,500,725.16699219,7,1,00000503
15371,2006,CA,CDF,LNU,NOCE,00008305,2006/10/26 00:00:00+00,2006/10/26 00:00:00+00,4,,10,10.43459606,6,1,00000569
15372,2006,CA,LRA,LNU,ZAM ASSIST,00007271,2006/09/22 00:00:00+00,2006/09/22 00:00:00+00,14,LRA Fire,11000,13968.875,7,1,00010468
15373,2006,CA,CDF,LNU,SAGE,00005439,2006/07/27 00:00:00+00,2006/07/27 00:00:00+00,14,LARGE DOLLAR LOSS DUE TO BURNED VINEYARD,3,2.57998443,6,1,00000330
15374,2006,CA,CDF,SHU,PIT,00003292,2006/05/14 00:00:00+00,2006/05/14 00:00:00+00,5,Unknown cost,17,11.21892452,6,1,00000114
15375,2006,CA,CDF,SHU,HAYFORK,00008074,2006/09/22 00:00:00+00,2006/09/22 00:00:00+00,7,Unknown cost,12,22.64722633,6,1,00000451
15376,2006,CA,CDF,SHU,JUNCTION,00006152,2006/07/29 00:00:00+00,2006/07/31 00:00:00+00,14,Unknown cost,3150,3129.74633789,1,1,00000310
15377,2006,CA,CDF,SKU,BUTTE,00004262,2006/08/27 00:00:00+00,2006/08/27 00:00:00+00,11,,20.19,20.18812943,1,1,00000297
15378,2006,CA,CDF,SKU,CREEK,00002850,2006/06/26 00:00:00+00,2006/06/26 00:00:00+00,8,,3.296,3.29575706,1,1,00000129
15379,2006,CA,CDF,SKU,SHEEPY,00003027,2006/02/07 00:00:00+00,2006/02/07 00:00:00+00,1,,12.78,12.38427544,1,1,00000170
15380,2006,CA,CDF,SKU,WEED,00002374,2006/05/31 00:00:00+00,2006/05/31 00:00:00+00,5,,3.1,2.88785458,1,1,00000104
15381,2006,CA,CDF,SKU,PARKS,00004175,2006/08/22 00:00:00+00,2006/08/22 00:00:00+00,10,CALTRANS STARTED FIRE,139,122.38765717,1,1,00000293
